,ITEM_ID,GENRE
0,1,Animation|Children's|Comedy
6,7,Comedy|Romance
12,13,Animation|Children's
16,17,Drama|Romance
17,18,Thriller
18,19,Comedy
23,24,Drama|Sci-Fi
24,25,Drama|Romance
26,27,Drama
28,29,Adventure|Sci-Fi
29,30,Drama
31,32,Drama|Sci-Fi
33,34,Children's|Comedy|Drama
40,41,Drama|War
43,44,Action|Adventure
48,49,Drama|Romance
65,66,Sci-Fi|Thriller
70,71,Action
71,72,Comedy|Drama
76,77,Documentary
77,78,Drama
79,80,Drama
85,86,Adventure|Drama
87,88,Comedy
91,93,Comedy|Romance
93,95,Action|Thriller
94,96,Comedy
96,98,Action|Thriller
98,100,Drama|Thriller
103,105,Drama|Romance
104,106,Comedy|Drama
105,107,Adventure|Children's|Comedy|Musical
110,112,Action|Adventure|Crime
116,118,Comedy|Romance
117,119,Comedy
118,120,Drama
126,128,Documentary
128,130,Drama
136,138,Drama
139,141,Comedy
150,152,Horror
157,159,Drama
160,162,Documentary
169,171,Comedy
181,183,Thriller
185,187,Comedy
186,188,Horror
201,203,Comedy
205,207,Drama|Romance
212,214,Drama
216,218,Comedy|Drama
218,220,Horror
228,231,Comedy
231,234,Comedy
233,236,Comedy|Romance
236,239,Animation|Children's|Comedy|Romance
240,243,Comedy
242,245,Crime|Drama
243,246,Documentary
255,258,Adventure|Children's|Comedy|Fantasy|Romance
259,262,Children's|Drama
260,263,Drama
265,268,Drama
266,269,Drama
267,270,Drama|Romance
272,275,Comedy
275,278,Comedy
285,288,Action|Thriller
287,290,Crime|Drama
291,294,Comedy|Romance
292,295,Comedy|Romance
293,296,Crime|Drama
295,298,Comedy
297,300,Drama
299,302,Drama|Romance
300,303,Action|Adventure|Western
306,309,Drama
310,313,Animation|Children's
315,318,Drama
326,330,Comedy|Horror
328,332,Horror|Sci-Fi
330,334,Drama
332,336,Drama|War
335,339,Comedy|Romance
338,342,Comedy|Romance
344,348,Comedy
347,351,Comedy|Drama|Romance
353,357,Comedy|Romance
354,358,Drama
356,360,Action|Comedy
358,362,Adventure|Children's|Romance
363,367,Comedy|Crime|Fantasy
365,369,Drama
366,370,Comedy
367,371,Comedy|Drama
374,378,Comedy|Romance
380,384,Action
388,392,Adventure|Children's
390,394,Action
400,404,Documentary
402,406,Drama
404,408,Drama
407,411,Comedy
422,426,Horror|Sci-Fi|Thriller
423,427,Mystery|Romance|Thriller
425,429,Comedy
427,431,Crime|Drama
433,437,Comedy
434,438,Action|Comedy
437,441,Comedy
440,444,Comedy|Romance
441,445,Comedy
445,449,Comedy
447,451,Drama|Mystery|Romance
457,461,Drama|Romance
465,469,Drama|Romance
466,470,Comedy
468,472,Comedy|Drama
471,475,Drama
472,476,Comedy|Drama
476,480,Action|Adventure|Sci-Fi
478,482,Thriller
491,495,Drama
502,506,Drama
505,509,Drama|Romance
506,510,Drama
512,516,Comedy|Drama|War
524,528,Drama
527,531,Children's|Drama
530,534,Drama|Romance
536,540,Thriller
539,543,Comedy|Romance|Thriller
540,544,Action
541,545,Drama
544,548,Action
547,551,Children's|Comedy|Musical
556,560,Drama
557,561,Thriller
558,562,Comedy|Drama
559,563,Drama
561,565,Horror
571,575,Children's|Comedy
580,584,Drama
588,592,Action|Adventure|Crime|Drama
589,593,Drama|Thriller
591,595,Animation|Children's|Musical
593,597,Comedy|Romance
603,607,Drama
608,612,Comedy
613,617,Drama
615,619,Comedy
625,630,Drama|Romance
627,632,War
632,637,Comedy
637,642,Drama
642,648,Action|Adventure|Mystery
646,652,Mystery
651,657,Comedy|Drama
654,660,Drama
678,685,Drama
679,687,Drama|Romance
686,695,Mystery|Thriller
688,697,Drama|Romance
692,701,Drama
694,703,Drama
698,707,Crime|Film-Noir|Thriller
702,711,Adventure|Children's
706,715,Drama
708,717,Comedy
710,719,Comedy
715,724,Drama|Horror
717,726,Drama
720,729,Drama
722,731,Mystery|Thriller
725,734,Comedy
728,737,Action|Sci-Fi
733,743,Comedy
740,750,Sci-Fi|War
746,756,Documentary
752,762,Comedy|Crime
756,766,Drama
765,775,Horror
766,776,Comedy|Drama
768,778,Drama
769,779,Drama|Romance
773,783,Animation|Children's|Musical
777,787,Documentary
778,788,Comedy|Fantasy|Romance|Sci-Fi
779,789,Drama
788,798,Action|Adventure|Thriller
794,804,Comedy|Romance
795,805,Drama
805,815,Action|Mystery|Thriller
807,818,Comedy
812,823,Drama
820,831,Drama
824,835,Drama
825,836,Action|Adventure|Thriller
828,839,Action|Thriller
829,840,Comedy
836,847,Comedy|Drama
839,850,Crime|Drama
840,851,Drama
849,860,Comedy
854,865,Drama
856,867,Comedy|Crime
857,868,Comedy
866,877,Drama
872,884,Drama
873,885,Children's|Drama|Fantasy
897,909,Comedy|Drama
898,910,Comedy|Crime
899,911,Comedy|Mystery|Romance|Thriller
903,915,Comedy|Romance
905,917,Children's|Drama
906,918,Musical
915,927,Comedy
916,928,Romance|Thriller
934,946,Comedy|Drama|War
936,948,Drama
937,949,Drama
940,952,Adventure|Comedy
945,957,Drama
946,958,Comedy|Mystery
949,961,Drama
952,964,Western
962,974,Drama|Romance
965,977,Mystery
972,984,Comedy|Drama
973,985,Documentary
974,986,Adventure|Children's
975,987,Drama|Romance
977,989,Drama
982,994,Drama
984,997,Drama|Thriller
985,998,Action|Crime
990,1003,Drama|Thriller
999,1012,Children's|Drama
1000,1013,Children's|Drama
1002,1015,Adventure|Children's
1003,1016,Children's|Comedy
1004,1017,Adventure|Children's
1005,1018,Children's|Comedy|Mystery
1006,1019,Adventure|Children's|Fantasy|Sci-Fi
1007,1020,Comedy
1010,1023,Animation|Children's
1012,1025,Animation|Children's
1014,1027,Drama
1016,1029,Animation|Children's|Musical
1019,1032,Animation|Children's|Musical
1021,1034,Crime
1027,1040,Drama
1028,1041,Drama
1033,1046,Drama|Romance
1035,1049,Action|Adventure
1052,1066,Comedy|Musical|Romance
1055,1069,Film-Noir|Thriller
1056,1070,Adventure
1067,1083,Comedy|Musical
1068,1084,Crime|Drama
1070,1086,Mystery|Thriller
1071,1087,Musical
1075,1091,Comedy
1080,1096,Drama
1086,1102,Action
1098,1114,Drama
1100,1116,Drama
1103,1119,Drama
1104,1120,Drama
1118,1134,Action|Drama
1123,1139,Drama
1126,1142,Drama
1129,1145,Documentary
1151,1167,Comedy
1154,1170,Action
1156,1172,Comedy|Drama|Romance
1158,1174,Comedy
1159,1175,Comedy|Sci-Fi
1160,1176,Drama
1161,1177,Drama
1163,1179,Crime|Drama|Film-Noir
1164,1180,Comedy
1167,1184,Comedy|War
1168,1185,Drama
1170,1187,Drama
1171,1188,Comedy|Romance
1173,1190,Drama
1175,1192,Documentary
1178,1196,Action|Adventure|Drama|Sci-Fi|War
1179,1197,Action|Adventure|Comedy|Romance
1182,1200,Action|Sci-Fi|Thriller|War
1184,1202,Comedy
1194,1212,Mystery|Thriller
1202,1220,Action|Comedy|Musical
1204,1222,Action|Drama|War
1209,1227,Crime|Drama|Thriller
1214,1233,Action|Drama|War
1217,1236,Comedy|Drama
1224,1244,Comedy|Drama|Romance
1225,1245,Drama
1226,1246,Drama
1228,1248,Crime|Film-Noir|Thriller
1229,1249,Thriller
1232,1252,Film-Noir|Mystery|Thriller
1233,1253,Drama|Sci-Fi
1237,1257,Comedy
1239,1259,Adventure|Comedy|Drama
1241,1261,Action|Adventure|Comedy|Horror
1244,1264,Action|Drama|Mystery|Romance|Thriller
1247,1267,Film-Noir|Thriller
1248,1268,Drama
1251,1271,Drama
1255,1275,Action|Adventure
1256,1276,Comedy|Drama
1257,1277,Action|Drama|Romance
1258,1278,Comedy|Horror
1262,1282,Animation|Children's|Musical
1263,1283,Western
1267,1287,Action|Adventure|Drama
1273,1293,Drama
1274,1294,Comedy|War
1284,1304,Action|Comedy|Western
1285,1305,Drama
1291,1311,Comedy
1296,1316,Drama
1302,1322,Horror
1311,1331,Horror
1322,1343,Thriller
1326,1347,Horror
1332,1353,Comedy|Romance
1333,1354,Drama
1334,1355,Horror|Thriller
1343,1364,Action
1346,1367,Children's|Comedy
1351,1372,Action|Adventure|Sci-Fi
1362,1383,Action|Sci-Fi
1374,1395,Comedy|Drama
1377,1398,Romance|War
1384,1407,Horror|Thriller
1385,1408,Action|Romance|War
1388,1411,Drama
1390,1413,Drama
1391,1414,Comedy
1393,1416,Drama|Musical
1401,1425,Comedy
1408,1432,Action
1411,1436,Comedy
1426,1453,Comedy|Romance
1430,1457,Comedy|Romance
1431,1458,Romance
1432,1459,Mystery|Thriller
1433,1460,Children's|Comedy|Mystery
1439,1466,Crime|Drama
1441,1468,Comedy|Romance
1445,1473,Action|Comedy|Crime|Drama
1463,1495,Action|Adventure|Children's
1472,1504,Drama
1474,1508,Drama
1476,1510,Drama
1480,1515,Drama|Thriller
1483,1518,Action|Thriller
1486,1522,Drama
1487,1523,Action|Crime|Romance
1489,1525,Action|Adventure|Children's|Fantasy
1492,1528,Comedy
1493,1529,Drama
1505,1544,Action|Adventure|Sci-Fi|Thriller
1506,1545,Drama
1515,1554,Drama|Romance
1522,1562,Action|Adventure|Crime
1524,1564,Comedy|Romance
1530,1570,Sci-Fi
1538,1579,Drama
1542,1583,Children's|Fantasy
1543,1584,Drama|Sci-Fi
1550,1591,Action|Adventure|Sci-Fi|Thriller
1552,1593,Comedy|Romance
1559,1600,Drama|Romance
1564,1605,Adventure|Romance
1565,1606,Action|Adventure
1566,1608,Action|Thriller
1567,1609,Drama
1570,1612,Comedy
1576,1619,Drama|War
1584,1627,Action|Crime|Mystery
1593,1639,Drama|Romance
1595,1641,Comedy
1600,1646,Comedy
1601,1647,Crime|Thriller
1605,1651,Drama
1607,1653,Drama|Sci-Fi|Thriller
1608,1654,Children's|Drama|Fantasy
1612,1658,Romance|Thriller
1617,1663,Comedy
1622,1668,Drama
1623,1669,Romance
1637,1683,Drama|Romance|Thriller
1638,1684,Romance
1640,1686,Crime|Thriller
1642,1688,Animation|Children's|Musical
1645,1692,Horror|Sci-Fi
1646,1693,Drama
1649,1696,Drama|War
1665,1714,Romance
1666,1715,Thriller
1669,1718,Thriller
1673,1722,Action|Romance|Thriller
1678,1727,Drama
1679,1728,Drama
1690,1741,Drama
1694,1746,Comedy
1695,1747,Comedy|Drama
1697,1749,Romance
1698,1750,Adventure|Children's|Fantasy|Sci-Fi
1702,1755,Romance
1703,1756,Horror
1709,1764,Comedy|Thriller
1717,1773,Action|Drama
1726,1784,Comedy|Drama
1732,1792,Action|Thriller
1735,1795,Drama
1736,1796,Action|Drama
1737,1797,Documentary
1739,1799,Crime|Drama
1747,1811,Drama
1751,1816,Comedy|Drama
1758,1825,Action|Drama
1761,1829,Drama|Romance
1769,1837,Comedy
1771,1840,Drama
1775,1844,Drama
1777,1846,Drama
1782,1851,Drama|Romance
1784,1853,Comedy
1788,1857,Comedy
1795,1864,Comedy
1802,1871,Comedy|Drama
1803,1872,Drama
1807,1876,Action|Drama|Sci-Fi|Thriller
1808,1877,Drama
1812,1881,Adventure|Animation|Children's|Fantasy
1834,1903,Comedy
1837,1906,Comedy|Romance
1843,1912,Action|Crime|Romance
1853,1922,Drama
1857,1926,Musical
1858,1927,War
1859,1928,Western
1860,1929,Drama
1864,1933,Drama
1871,1940,Drama
1872,1941,Drama
1874,1943,Drama
1875,1944,Drama|Romance|War
1886,1955,Drama
1888,1957,Drama
1894,1963,Comedy
1897,1966,Comedy
1903,1972,Horror
1909,1978,Horror
1910,1979,Horror
1911,1980,Horror
1917,1986,Horror
1920,1989,Horror
1925,1994,Horror|Thriller
1927,1996,Horror|Thriller
1928,1997,Horror
1929,1998,Horror
1930,1999,Horror
1938,2007,Comedy
1942,2011,Comedy|Sci-Fi
1943,2012,Comedy|Sci-Fi|Western
1944,2013,Action|Adventure
1945,2014,Children's|Comedy
1947,2016,Children's|Comedy|Western
1956,2025,Drama|Romance
1959,2028,Action|Drama|War
1967,2036,Children's|Comedy
1969,2038,Children's|Comedy|Sci-Fi
1971,2040,Children's|Comedy
1979,2048,Animation|Children's
1981,2050,Adventure|Children's|Comedy
1987,2056,Adventure|Children's
1999,2068,Drama
2004,2073,Comedy
2012,2081,Animation|Children's|Comedy|Musical|Romance
2014,2083,Children's|Musical
2015,2084,Children's|Musical
2018,2087,Animation|Children's|Fantasy|Musical
2021,2090,Animation|Children's
2024,2093,Adventure|Children's|Fantasy|Sci-Fi
2027,2096,Animation|Children's|Musical
2029,2098,Children's|Comedy
2030,2099,Adventure|Animation|Children's|Musical
2031,2100,Comedy|Fantasy|Romance
2032,2101,Adventure|Drama
2035,2104,Drama
2037,2106,Drama|War
2044,2113,Horror|Thriller
2049,2118,Horror|Thriller
2052,2121,Horror|Thriller
2059,2128,Comedy
2061,2130,Crime|Drama|Romance
2064,2133,Adventure|Comedy
2069,2138,Animation|Children's|Drama|Fantasy
2075,2144,Comedy
2085,2154,Drama|Romance
2092,2161,Adventure|Children's|Fantasy
2093,2162,Adventure|Children's|Fantasy
2094,2163,Comedy|Horror
2095,2164,Drama
2096,2165,Drama
2099,2168,Drama|Romance
2100,2169,Comedy
2101,2170,Action|Comedy
2105,2174,Comedy|Fantasy
2109,2178,Thriller
2114,2183,Thriller
2115,2184,Mystery|Thriller
2116,2185,Thriller
2119,2188,Drama
2125,2194,Action|Crime|Drama
2126,2195,Comedy
2127,2196,Action
2132,2201,Drama
2145,2214,Thriller
2148,2217,Comedy|Musical
2157,2226,Drama
2164,2233,Drama
2166,2235,Drama|War
2171,2240,Drama
2173,2242,Drama
2178,2247,Comedy
2179,2248,Comedy|Drama|Romance
2182,2251,Comedy
2184,2253,Action|Comedy|Fantasy
2191,2260,Action|Crime
2193,2262,Comedy|Drama|Romance
2203,2272,Drama
2208,2277,Drama
2211,2280,Crime
2213,2282,Comedy|Drama
2216,2285,Drama
2219,2288,Action|Horror|Sci-Fi|Thriller
2223,2292,Romance
2226,2295,Comedy
2227,2296,Comedy
2230,2299,Comedy
2241,2310,Drama
2243,2312,Drama
2244,2313,Drama
2245,2314,Drama
2248,2317,Comedy
2249,2318,Comedy
2268,2337,Drama
2275,2344,Action|Adventure|Drama|Thriller
2280,2349,Comedy|Thriller
2293,2362,Drama
2301,2370,Action|Adventure|Drama
2302,2371,Comedy
2303,2372,Comedy
2310,2379,Comedy
2311,2380,Comedy
2317,2386,Drama
2320,2389,Crime|Horror|Thriller
2326,2395,Comedy
2330,2399,Adventure|Children's|Fantasy
2331,2400,Children's|Drama
2336,2405,Action|Adventure|Comedy|Romance
2339,2408,Comedy|Sci-Fi
2340,2409,Action|Drama
2341,2410,Action|Drama
2346,2415,Drama|Romance
2352,2421,Action|Adventure|Drama
2355,2424,Comedy|Romance
2360,2429,Adventure|Children's|Drama
2362,2431,Comedy|Drama
2363,2432,Drama
2374,2443,Drama|Romance
2376,2445,Drama
2384,2453,Drama|Fantasy
2385,2454,Horror|Sci-Fi
2386,2455,Horror|Sci-Fi
2387,2456,Horror|Sci-Fi
2389,2458,Comedy|Crime
2394,2463,Comedy
2395,2464,Horror
2396,2465,Horror
2402,2471,Adventure|Comedy
2403,2472,Comedy
2404,2473,Comedy
2406,2475,Action|Mystery|Thriller
2409,2478,Comedy|Western
2410,2479,Drama|Thriller
2411,2480,Drama
2416,2485,Comedy|Romance
2417,2486,Drama
2430,2499,Comedy
2431,2500,Comedy
2436,2505,Thriller
2440,2509,Comedy
2450,2519,Horror
2463,2532,Action|Sci-Fi
2464,2533,Action|Sci-Fi
2465,2534,Action
2469,2538,Documentary
2477,2546,Drama
2481,2550,Horror|Thriller
2482,2551,Drama|Thriller
2483,2552,Comedy
2484,2553,Horror|Sci-Fi|Thriller
2486,2555,Comedy
2493,2562,Drama
2497,2566,Animation|Children's
2509,2578,Sci-Fi
2511,2580,Crime
2512,2581,Comedy|Romance
2523,2592,Drama
2524,2593,Comedy
2540,2609,Drama
2541,2610,Drama
2545,2614,Action|Horror|Sci-Fi
2546,2615,Adventure|Sci-Fi
2548,2617,Action|Adventure|Horror|Thriller
2552,2621,Drama|Romance
2558,2627,Documentary|Drama
2577,2646,Horror
2583,2652,Horror
2597,2666,Sci-Fi
2598,2667,Sci-Fi
2600,2669,War
2602,2671,Comedy|Romance
2603,2672,Drama|Sci-Fi|Thriller
2617,2686,Drama|Mystery
2622,2691,Drama
2624,2693,Documentary
2641,2710,Horror
2646,2715,Comedy|Romance
2649,2718,Comedy
2653,2722,Action|Sci-Fi|Thriller
2660,2729,Drama
2661,2730,Drama
2666,2735,Action|Adventure|Comedy
2667,2736,Comedy
2671,2740,Horror
2674,2743,Drama
2679,2748,Action|Adventure
2683,2752,Comedy|Mystery
2699,2768,Comedy
2708,2777,Drama
2710,2779,Comedy
2717,2786,Comedy
2723,2792,Comedy
2726,2795,Comedy
2730,2799,Comedy
2731,2800,Animation|Children's
2733,2802,Action|Romance|Thriller
2735,2804,Comedy|Drama
2739,2808,Action|Sci-Fi
2740,2809,Comedy
2744,2813,Documentary
2749,2818,Action|War
2750,2819,Thriller
2753,2822,Adventure|Romance
2754,2823,Action|Drama
2756,2825,Drama
2758,2827,Sci-Fi|Thriller
2761,2830,Drama
2762,2831,Drama
2771,2840,Thriller
2774,2843,Comedy|Romance
2781,2850,Drama|Thriller
2783,2852,Drama
2784,2853,Horror
2787,2856,Thriller
2795,2864,Comedy
2796,2865,Comedy
2805,2874,Comedy
2811,2880,Action|Adventure|Comedy
2819,2888,Comedy|Romance
2827,2896,Western
2830,2899,Adventure|Animation|Children's
2831,2900,Horror|Sci-Fi
2832,2901,Horror|Sci-Fi
2835,2904,Drama
2843,2912,Action|Crime|Drama
2844,2913,Comedy
2847,2916,Action|Adventure|Sci-Fi|Thriller
2848,2917,Crime|Thriller
2850,2919,Drama|Romance
2851,2920,Drama|Romance
2852,2921,Western
2856,2925,Drama
2860,2929,Drama
2864,2933,Drama
2872,2941,Musical|Romance|War
2874,2943,Drama|Romance
2878,2947,Action
2886,2955,Drama
2887,2956,Action|Crime|Thriller
2903,2972,Drama|War
2904,2973,Comedy
2905,2974,Horror|Thriller
2907,2976,Drama|Horror
2912,2981,Documentary
2917,2986,Action|Crime|Sci-Fi
2922,2991,Action
2929,2998,Romance
2932,3001,Drama
2933,3002,Documentary
2945,3014,Comedy
2955,3024,Horror|Sci-Fi
2956,3025,Western
2960,3029,Action|Drama
2966,3035,Comedy|Drama|War
2967,3036,Adventure
2969,3038,Drama
2975,3044,Mystery|Romance|Thriller
2987,3056,Thriller
2993,3062,Action|Drama|War
2995,3064,Thriller
2996,3065,Drama
2998,3067,Comedy|Drama
3002,3071,Drama
3003,3072,Comedy
3005,3074,Western
3007,3076,Comedy
3008,3077,Documentary
3015,3084,Documentary
3018,3087,Comedy
3020,3089,Drama
3022,3091,Drama|War
3023,3092,Drama
3028,3097,Comedy|Romance
3029,3098,Drama
3033,3102,Thriller
3034,3103,Drama|Romance
3042,3111,Drama
3047,3116,Drama
3050,3119,Horror
3055,3124,Comedy|Drama
3062,3131,Comedy
3064,3133,Comedy
3067,3136,Documentary
3072,3141,Drama
3077,3146,Comedy
3085,3154,Drama|War
3102,3171,Drama
3107,3176,Drama|Mystery|Thriller
3110,3179,Drama
3118,3187,Drama
3121,3190,Adventure|Sci-Fi
3130,3199,Comedy|Musical|Romance
3132,3201,Drama
3138,3207,Adventure
3151,3220,Drama
3155,3224,Drama
3164,3233,Comedy
3169,3238,Thriller
3170,3239,Comedy
3175,3244,Comedy|Romance
3176,3245,Drama
3177,3246,Drama
3181,3250,Drama
3183,3252,Drama
3189,3258,Comedy
3192,3261,Comedy|Drama|Romance
3194,3263,Comedy
3197,3266,Action|Comedy|Crime|Drama
3198,3267,Action|Thriller
3206,3275,Action|Comedy
3207,3276,Comedy
3208,3277,Drama
3215,3284,Comedy|Romance
3219,3288,Drama
3221,3290,Comedy
3222,3291,Thriller
3233,3302,Comedy
3237,3306,Comedy
3241,3310,Action
3243,3312,Drama
3261,3330,Drama
3262,3331,Drama
3271,3340,Horror|Sci-Fi
3273,3342,Drama|War
3277,3346,Horror
3280,3349,Comedy
3283,3352,Drama
3286,3355,Thriller
3288,3357,Drama|Romance
3289,3358,Comedy|Romance
3306,3375,Sci-Fi
3309,3378,Drama
3313,3382,Drama
3320,3389,Action|Adventure
3323,3392,Comedy
3328,3397,Children's|Comedy
3334,3403,Drama|Thriller
3335,3404,Action|Drama
3336,3405,Action|Drama
3339,3408,Drama
3341,3410,Comedy|Drama
3351,3420,Drama|Thriller
3353,3422,Comedy|Romance
3370,3439,Action|Children's|Fantasy
3373,3442,Action
3378,3447,Drama
3389,3458,Drama|Romance
3393,3462,Comedy
3395,3464,Sci-Fi|Thriller
3396,3465,Drama
3403,3472,Horror
3405,3474,Sci-Fi|Thriller
3407,3476,Horror|Mystery|Thriller
3413,3482,Drama
3415,3484,Thriller
3433,3502,Drama
3434,3503,Drama|Sci-Fi
3437,3506,Comedy|Drama
3440,3509,Drama
3444,3513,Drama|Thriller
3453,3522,Drama
3454,3523,Action|Thriller
3463,3532,Comedy
3466,3535,Comedy|Horror|Thriller
3469,3538,Comedy
3470,3539,Documentary
3473,3542,Drama
3475,3544,Comedy
3481,3550,Horror
3484,3553,Drama|Thriller
3487,3556,Comedy|Drama
3488,3557,Thriller
3490,3559,Drama
3499,3568,Drama
3500,3569,Comedy|Drama
3510,3579,Drama
3519,3588,Crime|Drama
3523,3592,Animation|Sci-Fi
3524,3593,Action|Sci-Fi
3531,3600,Comedy|Musical
3532,3601,Comedy|Western
3536,3605,Drama|Musical
3537,3606,Musical
3547,3616,Comedy|Romance
3556,3625,Documentary
3557,3626,Comedy
3560,3629,Comedy
3564,3633,Action
3569,3638,Action|Romance|Sci-Fi
3575,3644,Western
3593,3662,Horror|Sci-Fi|Thriller
3595,3664,Horror|Sci-Fi|Thriller
3596,3665,Horror|Sci-Fi|Thriller
3597,3666,Horror|Sci-Fi|Thriller
3598,3667,Action|Comedy
3599,3668,Drama|Romance
3602,3671,Comedy|Western
3604,3673,Adventure|Children's
3610,3679,Documentary
3614,3683,Drama|Film-Noir
3632,3701,Crime|Drama|Sci-Fi
3634,3703,Action|Sci-Fi
3635,3704,Action|Sci-Fi
3639,3708,Horror|Thriller
3640,3709,Horror
3642,3711,Drama
3644,3713,Drama
3645,3714,Drama
3650,3719,Comedy|Romance
3652,3721,Comedy
3654,3723,Drama
3657,3726,Action|Thriller
3662,3731,Drama|Thriller
3664,3733,Drama
3669,3738,Drama
3675,3744,Action|Crime
3676,3745,Adventure|Animation|Sci-Fi
3684,3753,Action|Drama|War
3692,3761,Crime|Drama
3702,3771,Action|Adventure
3703,3772,Horror
3709,3778,Comedy|Drama
3715,3784,Comedy
3728,3797,Thriller
3732,3801,Drama|Mystery
3733,3802,Action|Sci-Fi
3734,3803,Drama
3738,3807,Action|Adventure
3739,3808,Drama|War
3747,3817,Comedy|Drama
3749,3819,Comedy
3750,3820,Children's
3753,3823,Drama
3755,3825,Drama
3760,3830,Comedy|Horror|Thriller
3764,3834,Adventure|Drama|Romance
3765,3835,Thriller
3769,3839,Horror
3770,3840,Horror
3772,3842,Horror
3773,3843,Horror
3775,3845,Drama
3779,3849,Thriller
3781,3851,Comedy
3782,3852,Comedy
3783,3853,Drama
3785,3855,Drama|Romance
3788,3858,Comedy
3790,3860,Crime
3809,3879,Action
3813,3883,Comedy|Drama
3822,3892,Horror
3833,3903,Drama
3834,3904,Drama
3839,3909,Comedy|Romance
3842,3912,Comedy|Drama
3844,3914,Drama
3845,3915,Drama
3853,3923,Horror|Sci-Fi
3854,3924,Comedy
3856,3926,Adventure|Sci-Fi
3872,3942,Horror
3877,3947,Thriller
3878,3948,Comedy
3880,3950,Drama
